#-------------------------------------------
# Datafile for Project 1 -- Assignment 3
#-------------------------------------------

#-------------------------------------------------------------------------------
# In Assignment 3, we now consider a planning horizon over multiple time steps
#-------------------------------------------------------------------------------
param T		:= 3;		# Number of time time steps


#-------------------------------------------------------------------------------
# Transportation Costs:  F = Factory, D = Distribution Center, C = Customer
#-------------------------------------------------------------------------------

param Tcost_F2D	:= 0.01;	# From Factories to Distribution Centers
param Tcost_D2C	:= 0.15;	# From distribution Centers to Customers




#-------------------------------------------------------------------------------
# Excess sales have 10%, 30% and 50% reduction in revenue, in their intervals
#-------------------------------------------------------------------------------
param : RevScale    ExcessLimit := 
1	  0.90		0.2
2	  0.70		0.5
3	  0.50          1.0 ;


#-------------------------------------------------------------------------------
# Inventory Holding Costs:  for Components and Products
#-------------------------------------------------------------------------------

param HoldCost_Comp := 0.25;
param HoldCost_Prod := 1;


#-------------------------------------------------------------------------------
# Sets of Factories, Customer Areas, Distribution Centers, Components and Products
#-------------------------------------------------------------------------------

set FACTORIES 	:= HALMSTAD TRANAS STOCKHOLM FALUN;
set CUSTOMAREAS	:= SKANE SMALAND VASTERGOTLAND GOTEBORG OSTERGOTLAND MALARDALEN 
                   SORMLAND UPPLAND DALARNA NORRLAND VARMLAND;
set D_CENTERS 	:= KRISTIANSTAD VAXJO JONKOPING LINKOPING ALINGSAS NYKOPING 
                   UPPSALA KARLSTAD FAGERSTA MORA HUDIKSVALL;
set USED_DC 	:= KRISTIANSTAD VAXJO LINKOPING ALINGSAS UPPSALA KARLSTAD MORA;
set COMPONENTS 	:= COMP1 COMP2 COMP3 COMP4 COMP5 COMP6 COMP7 COMP8;
set PRODUCTS 	:= PROD1 PROD2 PROD3 PROD4;


#-------------------------------------------------------------------------------
# Sets for each Component: specifies whith products that need the component
#-------------------------------------------------------------------------------

set PROD_USING_COMPONENTS[COMP1] := PROD4; 
set PROD_USING_COMPONENTS[COMP2] := PROD2 PROD3; 
set PROD_USING_COMPONENTS[COMP3] := PROD1 PROD4; 
set PROD_USING_COMPONENTS[COMP4] := PROD3 PROD4; 
set PROD_USING_COMPONENTS[COMP5] := PROD1 PROD2; 
set PROD_USING_COMPONENTS[COMP6] := PROD2 PROD3; 
set PROD_USING_COMPONENTS[COMP7] := PROD1 PROD2; 
set PROD_USING_COMPONENTS[COMP8] := PROD2 PROD3; 


#-------------------------------------------------------------------------------
# Assembly Cost at the Distribution Centers, for each time step
#-------------------------------------------------------------------------------

param AssemblyCost :=
[*,*,1] :        PROD1  PROD2  PROD3  PROD4 := 
KRISTIANSTAD       2      3      4      3
VAXJO              4      5      3      3
JONKOPING          5      3      4      4
LINKOPING          3      4      4      3
ALINGSAS           3      4      4      3
NYKOPING           5      6      3      5
UPPSALA            4      5      5      3
KARLSTAD           6      4      6      4
FAGERSTA           4      5      6      3
MORA               5      5      4      4
HUDIKSVALL         5      7      5      5 

[*,*,2] :        PROD1  PROD2  PROD3  PROD4 := 
KRISTIANSTAD       3      4      4      4 
VAXJO              2      5      2      4
JONKOPING          5      3      5      5
LINKOPING          4      5      7      3
ALINGSAS           2      4      5      4 
NYKOPING           2      6      3      6
UPPSALA            4      2      5      4
KARLSTAD           3      5      4      4
FAGERSTA           7      4      6      5
MORA               6      3      5      5
HUDIKSVALL         5      6      3      3

[*,*,3]  :       PROD1  PROD2  PROD3  PROD4 := 
KRISTIANSTAD       2      3      4      3
VAXJO              4      5      3      3
JONKOPING          5      3      4      4
LINKOPING          3      4      4      3
ALINGSAS           3      4      4      3
NYKOPING           5      6      3      5
UPPSALA            4      5      5      3
KARLSTAD           6      4      6      4
FAGERSTA           4      5      6      3
MORA               5      5      4      4
HUDIKSVALL         5      7      5      5 
 ;



#-------------------------------------------------------------------------------
# Subcontractor component cost for each Factory, for each time step
#-------------------------------------------------------------------------------

param CompCost :=
[*,*,1] :    COMP1  COMP2  COMP3  COMP4  COMP5  COMP6  COMP7  COMP8 :=
HALMSTAD       4      2      6      3      4      2      6      3
TRANAS         3      4      5      5      6      5      4      5
STOCKHOLM      6      5      4      5      4      3      2      3
FALUN          4      3      2      3      3      4      5      5

[*,*,2] :    COMP1  COMP2  COMP3  COMP4  COMP5  COMP6  COMP7  COMP8 :=
HALMSTAD       3      1      5      2      3      1      5      2
TRANAS         2      3      4      4      5      4      3      4
STOCKHOLM      5      4      3      4      3      2      1      2
FALUN          3      2      1      2      2      3      4      4

[*,*,3] :    COMP1  COMP2  COMP3  COMP4  COMP5  COMP6  COMP7  COMP8 :=
HALMSTAD       3      2      5      3      4      2      6      3
TRANAS         3      5      6      5      5      5      4      4
STOCKHOLM      6      4      4      5      4      4      3      3
FALUN          4      3      3      3      3      4      5      5 ;


#-------------------------------------------------------------------------------
# Revenue of Products at each Customer Area, for each time step
#-------------------------------------------------------------------------------

param Revenue :=
[*,*,1]  :        PROD1 PROD2 PROD3 PROD4 :=
SKANE               50    75    75    65
SMALAND             60    65    70    70
VASTERGOTLAND       70    70    75    65
GOTEBORG            70    65    60    65
OSTERGOTLAND        60    70    80    80
