#----------------------------------------------------------------------
# Data file: flights.dat
#----------------------------------------------------------------------

param nFlights := 35;
set NODES := 
START
 1  2  3  4  5  6  7  8  9 10 
11 12 13 14 15 16 17 18 19 20
21 22 23 24 25 26 27 28 29 30 
31 32 33 34 35     5+29  7+30  
 8+31 15+32 16+24 18+33 26+23
END
;



param : 
ARCS:			orgArcCost := 
START	 1		    0.00
START	 2		    0.00
START	 3		    0.00
START	 4		    0.00
START	 5		    0.00
START	 6		    0.00
START	 7		    0.00
START	 8		    0.00
START	 5+29		    0.00
START	 7+30		    0.00
START	 8+31		    0.00
 1 	28		10411.50
 1	29		 5302.75
 1	30		 7071.75
 1	31		 8535.75
 1	32		12231.33
 1	33		15032.25
 1	34		19551.33
 1	35		21106.83
 2	25		 1039.38
 2	26		 8377.50
 2	27		10479.38
 2	26+23		 8377.50
 3	12		 8308.75
 3	13		 5005.97
 3	14		 6455.97
 3	15		 9174.72
 3	16		 9350.94
 3	17		10498.85
 3	18		11948.85
 3	19		13398.85
 3	20		14848.85
 3	21		 6274.72
 3	22		 7815.35
 3	15+32		 9174.72
 3	16+24 		 9350.94
 3	18+33 		11948.85
 4 	12   		 6858.75
 4 	13   		 3555.97
 4 	14   		 5005.97
 4 	15   		 7724.72
 4 	16   		 7900.94
 4 	17   		 9048.85
 4 	18  		10498.85
 4 	19  		11948.85
 4 	20  		13398.85
 4 	21  		 4824.72
 4 	22  		 6365.35
 4 	15+32		 7724.72
 4 	16+24 		 7900.94
 4 	18+33 		10498.85
 5 	28		 5272.25
 5 	30		 1932.50
 5 	31		 3396.50
 5 	32		 7092.08
 5 	33		 9893.00
 5 	34		14412.08
 5 	35		15967.58
 6 	12		 3958.75
 6 	14		 2105.97
 6 	15		 4824.72
 6 	16		 5000.94
 6 	17		 6148.85
 6 	18		 7598.85
 6 	19		 9048.85
 6 	20		10498.85
 6 	21		 1924.72
 6 	22		 3465.35
 6 	15+32		 4824.72
 6 	16+24		 5000.94
 6 	18+33		 7598.85
 7 	28   		 3503.25
 7 	31   		 1627.50
 7 	32   		 5323.08
 7 	33   		 8124.00
 7 	34		12643.08
 7 	35		14198.58
 8 	28		 2039.25
 8 	32		 3859.08
 8 	33		 6660.00
 8 	34		11179.08
 8 	35		12734.58
 9 	15		 1644.93
 9 	16		 1821.15
 9 	17		 2969.06
 9 	18		 4419.06
 9 	19		 5869.06
 9 	20		 7319.06
 9 	15+32		 1644.93
 9 	16+24 		 1821.15
 9 	18+33 		 4419.06
10	17		 1609.69
10	18		 3059.69
10	19		 4509.69
10	20		 5959.69
10	18+33		 3059.69
11	18		 1609.69
11	19		 3059.69
11	20		 4509.69
11	18+33   	 1609.69
12	11		 1422.60
13	 9 		 1824.81
13	10		 2932.94
13	11		 4114.94
14	10		 1750.94
14	11		 2932.94
15 	33		 3066.92
15 	34		 7586.00
15 	35		 9141.50
18 	34		 4785.08
18 	35		 6340.58
21 	28		 1374.17
21 	32		 3194.00
21 	33		 5994.92
21 	34		10514.00
21 	35		12069.50
22 	32		 1638.50
22 	33		 4439.42
22 	34		 8958.50
22 	35		10514.00
23 	17		 1409.38
23 	18		 2859.38
23 	19		 4309.38
23 	20		 5759.38
23 	18+33   	 2859.38
24 	27  		 1267.43
25 	 4   		 1185.78
25	 5   		 2352.05
25	 6   		 3701.78
25	 7   		 3872.13
25	 8   		 5130.13
25	 5+29		 2352.05
25	 7+30		 3872.13
25	 8+31		 5130.13
28 	16  		 1322.71
28 	17  		 2470.62
28 	18  		 3920.62
28 	19  		 5370.62
28 	20  		 6820.62
28 	16+24		 1322.71
28 	18+33		 3920.62
29 	12   		 5340.42
29 	13   		 2037.64
29 	14   		 3487.64
29 	15   		 6206.39
29 	16   		 6382.60
29 	17   		 7530.52
29 	18   		 8980.52
29 	19  		10430.52
29 	20  		11880.52
29 	21  		 3306.39
29 	22  		 4847.01
29 	15+32		 6206.39
29 	16+24		 6382.60
29 	18+33		 8980.52
30 	12  		 3588.33
30 	14  		 1735.56
30 	15  		 4454.31
30 	16  		 4630.52
30 	17  		 5778.44
30 	18  		 7228.44
30 	19   		 8678.44
30 	20		10128.44
30 	21		 1554.31
30 	22		 3094.93
30 	15+32		 4454.31
30 	16+24		 4630.52
30 	18+33		 7228.44
31 	12   		 2138.33
31 	15   		 3004.31
31 	16   		 3180.52
31 	17   		 4328.44
31 	18   		 5778.44
31 	19   		 7228.44
31 	20   		 8678.44
31 	22   		 1644.93
31 	15+32		 3004.31
31 	16+24		 3180.52
31 	18+33		 5778.44
 5+29 	12 		 5477.08
 5+29 	13 		 2174.31
 5+29 	14 		 3624.31
 5+29 	15 		 6343.06
 5+29 	16 		 6519.27
 5+29 	17 		 7667.19
 5+29 	18 		 9117.19
 5+29 	19 		10567.19
 5+29 	20 		12017.19
 5+29 	21 		 3443.06
 5+29 	22 		 4983.68
 5+29 	15+32		 6343.06
 5+29 	16+24		 6519.27
 5+29 	18+33		 9117.19
 7+30 	12   		 3725.00
 7+30 	14   		 1872.22
 7+30 	15   		 4590.97
 7+30 	16   		 4767.19
 7+30 	17   		 5915.10
 7+30 	18   		 7365.10
 7+30 	19   		 8815.10
 7+30 	20  		10265.10
 7+30 	21   		 1690.97
 7+30 	22 		 3231.60
 7+30 	15+32		 4590.97
 7+30 	16+24		 4767.19
 7+30 	18+33		 7365.10
 8+31 	12   		 2275.00
 8+31 	15   		 3140.97
 8+31 	16   		 3317.19
 8+31 	17   		 4465.10
 8+31 	18   		 5915.10
 8+31 	19   		 7365.10
 8+31 	20   		 8815.10
 8+31 	22   		 1781.60
 8+31 	15+32 		 3140.97
 8+31 	16+24 		 3317.19
 8+31 	18+33 		 5915.10
16+24	27   		 1506.60
26+23	17   		 1511.88
26+23	18   		 2961.88
26+23	19   		 4411.88
26+23	20   		 5861.88
26+23	18+33		 2961.88
17 	END    		  153.75
19 	END    		  153.75
20 	END    		  153.75
25 	END    		   51.25
27 	END    		   51.25
32 	END    		   51.25
33 	END    		   51.25
34 	END    		   51.25
35 	END    		   51.25
15+32 	END 		  170.83
18+33 	END 		  170.83
;


set FLIGHTS_IN_NODE[START] :=  ;
set FLIGHTS_IN_NODE[1]     :=  1;
set FLIGHTS_IN_NODE[2]     :=  2;
set FLIGHTS_IN_NODE[3]     :=  3;
set FLIGHTS_IN_NODE[4]     :=  4;
set FLIGHTS_IN_NODE[5]     :=  5;
set FLIGHTS_IN_NODE[6]     :=  6;
set FLIGHTS_IN_NODE[7]     :=  7;
set FLIGHTS_IN_NODE[8]     :=  8;
set FLIGHTS_IN_NODE[9]     :=  9;
set FLIGHTS_IN_NODE[10]    := 10;
set FLIGHTS_IN_NODE[11]    := 11;
set FLIGHTS_IN_NODE[12]    := 12;
set FLIGHTS_IN_NODE[13]    := 13;
set FLIGHTS_IN_NODE[14]    := 14;
set FLIGHTS_IN_NODE[15]    := 15;
set FLIGHTS_IN_NODE[16]    := 16;
set FLIGHTS_IN_NODE[17]    := 17;
set FLIGHTS_IN_NODE[18]    := 18;
set FLIGHTS_IN_NODE[19]    := 19;
set FLIGHTS_IN_NODE[20]    := 20;
set FLIGHTS_IN_NODE[21]    := 21;
set FLIGHTS_IN_NODE[22]    := 22;
set FLIGHTS_IN_NODE[23]    := 23;
set FLIGHTS_IN_NODE[24]    := 24;
set FLIGHTS_IN_NODE[25]    := 25;
set FLIGHTS_IN_NODE[26]    := 26;
set FLIGHTS_IN_NODE[27]    := 27;
set FLIGHTS_IN_NODE[28]    := 28;
set FLIGHTS_IN_NODE[29]    := 29;
set FLIGHTS_IN_NODE[30]    := 30;
set FLIGHTS_IN_NODE[31]    := 31;
set FLIGHTS_IN_NODE[32]    := 32;
